Ranking,Title,Rating,ReviewCount,Price,offer,sponsored,DeliveryDays,Sales
117,"Purple Keyboard and Mouse Wireless, seenda Full-Size Keyboard with Phone Holder USB A & Type C Receiver 2.4G Silent USB Keyboard Mouse Compatible for MacBook and Windows Computer/Desktop/Laptop",4.4,106,29.99,,False,5,100
118,"Wired Keyboard and Mouse Combos, KOORUI Keyboard USB Plug-and-Play, Full Size Computer Keyboard with Numeric Keypad, 1600 DPI Mouse, Windows MacOS Linux Compatible, Slimline, Tilt Legs-White",4.3,56,12.99,,False,5,100
119,"CZUR Rechargeable Bluetooth Keyboard with Touchpad, Portable Computer Keyboard with Trackpad, Wireless Ultra Slim Keyboard for PC/Laptop/Tablet/Phone/Smart TV",4.3,21,39,5,True,,100
120,"ProtoArc Vertical Wireless Trackball Mouse, EM05 RGB Bluetooth Ergonomic Rollerball Mouse Rechargeable Computer Laptop Thumb Mouse, 3 Device Connection, Compatible with iPad, Mac, Windows PC",4.1,79,59.99,,True,5,100
121,"Wireless Keyboard and Mouse Combo, Ergonomic Full Size Typewriter Retro Round Keycaps Keyboard, Compatible with Windows, PC, Perfer for Home and Office Keyboards (Purple",4.4,846,39.99,5,True,5,300
122,DeLUX White Ergonomic Wireless Keyboard Mouse Combo GM902Pro and M618mini,4.1,17,102.99,,True,,
123,"Wireless Keyboard and Mouse Combo, E-YOOSO 2.4GHz Full-Sized Ergonomic Wireless Keyboard with Wrist Rest, 3 DPI Adjustable and 6 Buttons Cordless USB Mouse for Computer, Laptop, PC, Windows (Black)",4.2,581,32.99,,False,5,500
124,seenda Rechargeable Wireless Keyboard Mouse Combo Full Size Cordless Keyboard & Mouse Sets with Build-in Lithium Battery Ultra Thin Quiet Keyboard Mice (Rose Gold & Black),4.5,3489,39.99,,False,5,300
125,Macally Small Wireless Keyboard and Mouse Combo for PC - an Essential Work Duo - 2.4G - 78 Compact Key Cordless Mouse and Keyboard Combo with Mini Body and Quiet Click,4.4,2108,29.99,,False,5,1000
126,"Wireless Keyboard and Mouse Combo, Full-Sized Wireless Keyboard and Adjustable DPI Mouse, 2.4GHz USB Receiver, Wireless Keyboard and Mouse for PC, Windows, Desktop, Laptop (Purple)",4.3,701,21.99,10,False,5,1000
127,"Lenovo 300 Wireless Combo Keyboard and Mouse, 2.4 GHz Nano USB-A Receiver, Batteries Included",4.3,172,22.99,,False,5,200
128,"UBOTIE Wireless Keyboards and Mouse, Quiet Scissor Switches Slim Keyboards Mice Set, Silent Full Size 111 Round Keycaps with Adjustable DPI Mouse, Power On/Off Button for PC Laptop (Light Khaki)",4.5,405,29.99,,False,5,400
129,"Wireless Keyboard and Mouse, Ergonomic Keyboard Mouse - RGB Backlit, Rechargeable, Quiet, with Phone Holder, Wrist Rest, Lighted Mac Keyboard and Mouse Combo, for Mac, Windows, Laptop, PC",4.5,204,49.99,,False,5,500
130,Wireless Keyboard and Mouse - Ergonomic Keyboard and Mouse Combo Full Size Keyboard Cordless with Palm Wrist Rest Ergonomic Mouse Wireless for Windows Computers Laptops - Pink,4.1,109,39.99,,False,5,200
131,"iCasso Large Mouse pad for Desk, Computer Desk Mat, 3Pcs XXL Keyboard and Mouse Pad + Keyboard Wrist Rest, Memory Foam, Easy Typing Pain Relief Ultra Thick Mousepad Keyboard Mat(Weeds)",4.7,2766,22.99,,False,5,100
132,Logitech - Wave Keys MK670 Combo Ergonomic Wireless Keyboard and Mouse Bundle for Windows/Mac with Integrated Palm-Rest - Graphite (Renewed),5,1,48,,False,7,50
133,"LETTON Wireless Keyboard Mouse Combo, 2.4GHz Typewriter Keyboard Wireless, Colorful Full Size Office Computer Retro Keyboard and Cute Mouse with 3 DPI for Mac PC Desktop Laptop-Black Grey",4.4,4587,42.99,5,False,5,100
134,"Wireless Keyboard Mouse Combo - 2.4Ghz Aesthetic Quiet Keyboard and Mouse Wireless - 110 Keys Full Size Ultra-Thin Keyboard for Laptop, Computer, PC, Notebook, Windows, Mac OS (Khaki)",4.4,535,39.98,20,False,5,300
