Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
OMKAR PLAZA,OMKAR ENTERPRISES,16/06/2022,P51700045862,15/06/2022,No,421503,7666414243,,New Project,31/12/2025,,No,Others,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1816,1,0,4320.31,0,4320.31,Ambernath Jai Hind Co Op Bank,ICIC00AJHCB,NO,0,8,106,25,3390.58,0,0,,99,0,0,31,0,61,0,5,0,0,0,0,0,0,0,1,0,1,7,0,43,0,19,0,0,0,0,0,0,0,17,0,0,0,11,0,2,0,NO,NO
"Fiora A, B and C",MACROTECH DEVELOPERS LIMITED,02/04/2024,P51700032684,24/01/2022,No,400001,2261334761,,New Project,30/11/2025,,No,Residential,No,Konkan,Thane,Kalyan,Hedutane,421203,3394.6,3,1673.6,31800,0,31800,Yes Bank Ltd,YESB0000001,YES,100,24,0,1,19181.82,100,100,,481,463,0,0,454,472,0,0,9,9,0,0,0,0,0,0,0,0,0,0,472,454,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SAMRUDDHI CHS LTD,ADITYA BUILDCON,04/01/2024,P51700032599,14/01/2022,No,421201,9920325751,,New Project,31/12/2024,,No,Others,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421202,673,1,0,2206.79,0,2206.79,THANE JANTA SAHAKARI BANK,TJSB0000020,NO,0,5,0,1,1376.3,100,100,,22,20,0,0,2,2,12,12,5,7,0,0,1,1,0,0,0,0,0,0,0,0,12,12,6,4,0,0,0,0,3,3,0,0,1,1,0,0,YES,NO
PATELS PHOENIX,PRAMUKH DEVELOPERS,02/04/2024,P51700032731,24/01/2022,No,400053,2512603761,www.patelrplrealty.com,New Project,30/06/2024,,No,Residential,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,842.4,1,0,3026.48,2,3028.48,IDBI BANK,IBKL0000457,NO,0,9,0,0,1986.68,0,0,,53,33,6,13,16,21,11,19,0,0,0,0,0,0,0,0,0,0,2,0,16,11,28,16,3,2,0,0,0,0,4,4,0,0,0,0,0,0,NO,NO
GAWADE GAZELLE,Sai Durga Developers,23/03/2024,P51700033118,09/02/2022,No,421301,2512304791,,New Project,31/03/2024,,No,Others,No,Konkan,Thane,Kalyan,,421301,930,1,930,1404.94,0,1404.94,IDBI Bank,IBKL0000456,NO,0,8,0,12,1019.07,0,0,,26,0,0,5,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,NO,NO
VIPSA INFRA,VIPSA INFRA,20/10/2023,P51700029601,11/06/2021,No,421503,8308149363,,New Project,06/04/2025,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1021.73,2,1021.73,1977.63,1978.06,3955.69,STATE BANK OF INDIA,SBIN0021999,NO,0,8,0,1,7218.49,100,0,,45,8,0,4,0,0,1,3,0,0,0,0,1,12,3,20,3,6,4,0,28,4,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
Datta Leela Residency,Varad Vinayak Developers,07/03/2024,P51700029607,11/06/2021,No,421201,2512440701,,New Project,31/12/2022,,No,Others,No,Konkan,Thane,Kalyan,DOMBIVLI,421201,352,1,0,875.78,0,875.78,Dombivli Nagar Sahakari Bank Limited,DNSB0000018,NO,0,8,14,6,396.36,100,40,,9,4,0,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,YES,NO
Sai Mauli,Sai Ganesh Enterprises,29/04/2024,P51700029493,04/06/2021,No,421201,9422075557,,New Project,31/03/2024,,No,Others,No,Konkan,Thane,Kalyan,Titwala,421605,1021.5,1,0,2620.52,536,3156.52,Dombivli Nagar Sahakari Bank Limited,DNSB0000015,NO,0,8,0,10,2674.52,100,90,,68,21,0,12,16,42,5,14,0,0,0,0,0,0,0,0,0,0,0,0,42,16,14,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,NO,NO
KANHA RESIDENCY,KULKARNII BUILDER,23/12/2023,P51700030985,29/09/2021,No,421503,2293200574,,New Project,14/05/2025,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,481,1,481,1005.48,0,1005.48,THANE JANTA SAHAKARI BANK,TJSB0000059,NO,0,8,12,1,590.23,100,100,,23,14,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,YES,NO
USHAKIRAN ENCLAVE,JAYANT ENTERPRISES,20/03/2024,P51700028914,12/04/2021,No,400708,9527506924,,New Project,30/06/2026,,No,Others,Yes,Konkan,Thane,Kalyan,NANDIVALI,421203,4730,1,946,4730,0,4730,IDBI,IBKL0000455,NO,0,14,80,0,4942,100,23,,112,14,0,0,14,80,0,16,0,16,0,0,0,0,0,0,0,0,0,0,80,14,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
RUBAYNA RESIDENCY PHASE 2,SUDHIR DAMODAR GHATNEKAR,20/03/2023,P51700034205,25/03/2022,Yes,400037,2224150133,,New Project,31/12/2025,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1821.3,1,273.19,0,999.27,999.27,SARASWAT CO OPERATIVE BANK LTD,SRCB0000009,NO,0,4,0,0,17944.3,100,100,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREE MANGAL NARAYAN RESIDENCY,N V CONSTRUCTION,05/02/2024,P51700030047,26/07/2021,No,421201,2512400000,,New Project,31/12/2023,,Yes,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201,665.8,1,0,1001.27,0,1001.27,IDBI,IBKL0000669,NO,0,7,2,1,977.24,90,0,,30,0,0,11,0,16,0,2,0,0,0,0,0,0,0,1,0,0,0,0,11,0,3,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,NO,NO
NANO CITY,PINNACLE SPM GROUP,14/03/2024,P51700028880,05/04/2021,No,421503,18002666026,,New Project,30/06/2025,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,7430,2,664,10721.19,6276.27,16997.46,DCB BANK LIMITED,DCBL0000314,NO,0,12,0,0,6970.88,100,73,,218,97,30,76,64,131,3,11,0,0,0,0,0,0,0,0,0,0,76,30,109,56,33,11,0,0,0,0,22,8,0,0,0,0,0,0,0,0,NO,NO
Shreeji Lake View,Shree Infra Developers,30/03/2023,P51700029076,26/04/2021,No,421301,2512312914,,New Project,31/03/2026,,No,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421301,2110.28,1,0,919.65,0,919.65,HDFC Bank,HDFC0000194,NO,0,9,48,0,3769.56,100,0,,72,15,0,0,9,36,0,0,6,36,0,0,0,0,0,0,0,0,0,0,36,9,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREEJI ICONIC PHASE II,RAJ LAXMI DEVELOPERS,16/02/2024,P51700029218,10/05/2021,No,421503,2512694041,,New Project,30/11/2022,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1124.15,1,127.55,5484.14,0,5484.14,KOTAK MAHINDRA BANK,KKBK0001349,NO,0,11,0,3,3946.63,100,100,,103,0,0,28,0,31,0,44,0,0,0,0,0,0,0,0,0,0,0,0,52,0,44,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,YES,NO
SHIV SAI KRUPA CHS LTD,P G BUILDERS & DEVELOPERS,28/09/2023,P51700029095,26/04/2021,Yes,421501,7448215793,,New Project,30/06/2024,,No,Residential,Yes,Konkan,Thane,Ambarnath,,421501,528,1,0,920.31,0,920.31,IDBI BANK,IBKL0000457,NO,0,8,114,3,1307.91,100,100,,45,44,20,21,17,17,3,3,1,1,0,0,0,0,0,0,0,0,13,13,15,15,8,8,0,0,1,1,0,0,8,7,0,0,0,0,0,0,YES,NO
DOSTI GREATER THANE - PHASE 1,ADRIKA DEVELOPERS PRIVATE LIMITED,26/04/2024,P51700024923,12/03/2020,No,400001,2222198500,,New Project,01/04/2026,,Yes,Others,No,Konkan,Thane,Bhiwandi,Kopar,421302,5443.38,4,0,66234.24,13125.08,79359.32,KOTAK MAHINDRA BANK,KKBK0000957,NO,0,25,127,73,46837.28,100,100,,1806,1789,1789,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1748,1743,0,0,0,0,0,0,0,0,36,36,0,0,0,0,10,4,NO,NO
SHREE SHALINI,JAY SERVICE AND CONSULTANT,31/12/2021,P51700025100,18/03/2020,No,421601,,,New Project,30/09/2023,,No,Residential,Yes,Konkan,Thane,Shahapur,Shahapur (CT),421601,300.2,1,0,434.6,0,434.6,HDFC BANK,HDFC0002470,NO,0,4,1,1,323.81,100,100,,12,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,YES,NO
NASHEMAN-E-ZOHRA,M M BUILDERS & DEVELOPERS,12/03/2020,P51700025139,18/03/2020,No,421302,8208028671,,New Project,01/03/2026,,No,Others,Yes,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421302,539.28,1,0,1429.09,0,1429.09,BHARAT CO-OPERATIVE BANK,BCBM0000027,NO,0,1,1,0,24086.2,0,0,,50,0,0,0,0,0,0,0,0,0,0,5,0,7,0,9,0,29,5,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,5,0,NO,NO
M Square IT Park,Paper Flutings,27/03/2024,P51700025102,18/03/2020,No,400602,2223827171,,New Project,30/03/2024,,No,Commercial,No,Konkan,Thane,Thane,Thane (M Corp.),400604,2576,1,0,7724.61,0,7724.61,NKGSB CO OP Bank Ltd,NKGS0000020,NO,0,10,16,88,8132.96,100,70,,54,21,0,0,0,0,0,0,0,0,8,21,0,9,8,14,5,10,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,48,20,0,0,YES,NO
Kamdhenu23-west,Accura Developers LLP,30/04/2024,P51700025164,19/03/2020,No,400705,2227892790,,New Project,30/05/2025,,No,Commercial,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400710,3208,1,0,1317.88,8306.12,9624,Punjab and Sind Bank,PSIB0000467,YES,0,23,64,140,7236.94,100,90,,199,192,67,70,111,115,12,12,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,191,184,0,0,YES,NO
Shree Datta Samartha CHSL,Shree Sai Swami Enterprises,28/11/2023,P51700034066,24/03/2022,No,421503,9930114499,,New Project,30/06/2023,,No,Mixed (Plots & Buildings),Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,409,1,0,1187.67,0,1187.67,HDFC Bank,HDFC0001806,NO,0,7,0,0,819.42,100,100,,36,19,18,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,11,11,1,1,0,0,0,0,0,0,4,0,0,0,8,0,4,0,YES,NO
OM PANCHSHEEL CO OP HSG SOC,RAJU SHANTARAM MANDAVKAR,31/03/2024,P51700033949,14/03/2022,No,421503,2512677126,,New Project,31/12/2024,,No,Others,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1288,1,0,3279.51,0,3279.51,TJSB BANK,TJSB0000059,NO,0,8,52,54,2598.31,100,100,,93,14,4,47,6,27,4,19,0,0,0,0,0,0,0,0,0,0,4,1,20,6,18,3,2,1,0,0,0,0,20,3,0,0,18,0,11,0,NO,NO
SHREE SAI PEARL,SAI PEARL ENTERPRISES,21/04/2023,P51700033924,14/03/2022,No,421503,2512884379,,New Project,31/12/2024,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,885,1,208,553,0,553,KOTAK MAHINDRA BANK,KKBK0001349,NO,0,0,28,27,4388.26,100,0,,25,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,9,6,0,9,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,NO,NO
RUSTTAGI AARAMBHA PHASE-II,RUSTAGI ESTATES PRIVATE LIMITED,25/04/2024,P51700034078,24/03/2022,No,421301,2512300510,,New Project,22/02/2026,,No,Others,No,Konkan,Thane,Kalyan,Titwala,421605,10263,3,0,18720.04,0,18720.04,HDFC BANK LTD,HDFC0000194,YES,0,10,0,0,12013.31,66.6666666666667,30,,345,234,234,253,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,247,234,92,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,NO,YES
RITZ PHASE - II,VIKAS HARAKCHAND JAIN,21/03/2024,P51700029726,26/06/2021,No,421301,9320699777,,New Project,30/06/2024,,No,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421301,7744.62,1,551.43,17180.45,500,17680.45,BANK OF BARODA,BARB0KALYAN,NO,0,22,0,1,6478.99,100,100,,110,102,0,0,6,7,53,58,43,45,0,0,0,0,0,0,0,0,0,0,7,6,58,53,45,43,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
JAYRAM SADAN,SHREE CONSTRUCTION,28/06/2021,P51700029799,04/07/2021,No,421201,2511000000,,New Project,31/12/2023,,No,Residential,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421201,1213.5,1,0,1205.29,0,1205.29,DOMBIVLI NAGARI SAHAKARI BANK LTD,DNSB0000009,NO,0,6,0,1,1136.44,1,0,,37,0,0,26,0,3,0,5,0,3,0,0,0,0,0,0,0,0,26,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
VAKRATUNDA HOMES,NARAYAN SUNIL RANE,20/04/2024,P51700030070,29/07/2021,No,416602,2512607562,,New Project,31/12/2023,,No,Residential,Yes,Konkan,Thane,Shahapur,Washind (CT),421601,362,1,0,809.86,0,809.86,HDFC BANK,HDFC0009159,NO,0,8,0,19,572,100,97,,20,18,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SAIKRUPA CONSTRUCTION,RAJESH WASUDEORAO BHIWAPURE,02/07/2021,P51700029823,08/07/2021,No,421301,2513038798,,New Project,31/12/2023,,No,Mixed (Plots & Buildings),No,Konkan,Thane,Bhiwandi,kon (CT),421311,1000,1,0,892.9,750,1642.9,UNION BANK,UBIN0561819,NO,0,5,13,1,1399.31,100,0,,40,0,0,5,0,30,0,5,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NO,NO
SARITA APARTMENT,SHIVANSH VAISHNAVI CONSTRACTION,13/01/2023,P51700030296,15/08/2021,Yes,421503,2519029092,,New Project,31/10/2022,,No,Residential,Yes,Konkan,Thane,Ulhasnagar,Ulhasnagar (M Corp.),421001,217,1,522.96,326.85,196.11,522.96,THANE JANATA SAHAKARI BANK,TJSB0000130,NO,0,7,5,0,280.36,0,100,,17,6,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SAURABH RESIDENCY,M/s Krishna Builders & Developers,12/07/2021,P51700029965,18/07/2021,No,421306,2512678742,,New Project,30/06/2024,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,484,1,0,851.84,0,851.84,CENTRAL BANK OF INDIA,CBIN0283773,NO,0,5,0,6,625.2,100,0,,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
LA LUXURIA,RJ ENTERPRISES,25/04/2024,P51700030059,29/07/2021,No,400614,2261086108,QUALITASGROUP.IN,New Project,31/12/2025,,Yes,Others,Yes,Konkan,Thane,Shahapur,,421601,10784,3,1078.4,15680.36,0,15680.36,HDFC BANK LTD,HDFC0000540,YES,0,9,0,22,11054.99,63.3333333333333,43.3333333333333,,239,0,0,4,0,157,0,64,0,13,0,1,0,0,0,0,0,0,0,0,157,0,63,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,NO,NO
EKATVA SIGNET,Bhoomi Developers,13/01/2024,P51700030427,25/08/2021,No,400604,9820443550,,New Project,31/12/2023,,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400602,546.74,1,0,1515.99,264.09,1780.08,Punjab National Bank,PUNB0013810,NO,0,7,0,22,1550.23,100,0,,23,11,0,0,0,0,4,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
FORTUNE PRIDE,SURESH GURALDAS THADANI,30/10/2023,P51700028779,30/03/2021,Yes,400607,2512584483,,New Project,30/04/2024,,No,Residential,No,Konkan,Thane,Ulhasnagar,Ulhasnagar (M Corp.),421004,209,1,0,534.4,0,534.4,AXIS BANK,UTIB0001053,NO,0,7,12,0,521.28,0,0,,12,1,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SHLOK APARTMENT,SHREE MANGALMURTI BUILDERS AND DEVELOPERS,08/05/2023,P51700028296,18/02/2021,No,400708,2227606156,,New Project,30/12/2022,,No,Residential,Yes,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400708,199.97,1,0,0,299.95,299.95,GP PARSIK SAHAKARI BANK LTD,PJSB0000081,NO,0,5,1,1,373.79,100,75,,10,3,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
GHORPADE HEIGHTS,GANRAJ DEVELOPERS,13/06/2023,P51700029071,26/04/2021,No,421503,2512693040,,New Project,31/03/2023,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,330,1,330,731.36,0,731.36,INDIAN BANK,IDIB000B525,NO,0,6,0,1,520,100,100,,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHRINATH CO-OPERATIVE HOUSING SOCIETY LTD,VIDHI BUILDCON PRIVATE LIMITED,03/04/2023,P51700029183,03/05/2021,No,401105,2228049191,,New Project,02/12/2024,,No,Others,Yes,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401105,3972.36,1,922.85,3972.36,0,3972.36,BANK OF MAHARASHTRA,MAHB0001209,YES,0,16,0,0,3847.86,4,0,,139,0,0,88,0,51,0,0,0,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,NO,NO
ARIHANT CITY PHASE-II - P BUILDING,ARIHANT ENTERPRISES,31/01/2024,P51700029385,29/05/2021,No,400602,2225401117,www.arihantcity.com,New Project,31/12/2025,,No,Residential,Yes,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421302,3650,1,1253.74,374.55,16930,17304.55,HDFC BANK LTD,HDFC0000488,YES,0,1,0,1,349.25,0,0,,12,0,0,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,NO,NO
Shyam Vatika,Mahesh Shamlal Sachdev,07/10/2023,P51700028530,10/03/2021,No,421005,7387075935,,New Project,30/06/2024,,No,Residential,No,Konkan,Thane,Ulhasnagar,Ulhasnagar (M Corp.),421004,204.92,1,0,268.5,0,268.5,Axis Bank,UTIB0001053,NO,0,7,6,6,320.7,0,0,,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREE GAJANAN PLAZA,SHREE GANADHISH INFRASTRUCTURE,28/03/2024,P51700046406,22/06/2022,No,421605,9168516000,,New Project,30/06/2025,,No,Residential,Yes,Konkan,Thane,Kalyan,Titwala,421605,407,1,0,1338.22,0,1338.22,AXIS BANK LTD,UTIB0003998,NO,0,7,32,0,762.67,100,60,,34,23,18,28,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,5,0,0,0,0,0,0,6,6,0,0,10,0,0,0,NO,NO
VAISHNAVI PRIDE,VAISHNAVI DEVELOPERS,19/04/2024,P51700046405,22/06/2022,No,421036,2512681662,,New Project,31/12/2026,,No,Residential,Yes,Konkan,Thane,Ambarnath,Chinchpada,421306,2610,1,0,4323,10000,14323,DCB Bank Limited,DCBL0000314,NO,0,22,0,1,1662.47,100,0,,48,37,14,16,15,20,8,12,0,0,0,0,0,0,0,0,0,0,0,0,27,21,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
New Pushpanjali CHS,Geetai Buildcon,18/12/2023,P51700047102,03/10/2022,No,421501,2512712761,,New Project,31/12/2023,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,435.62,1,0,1195.58,0,1195.58,HDFC,HDFC0000816,NO,0,6,0,1,1011.38,100,100,,27,24,6,6,13,13,4,7,1,1,0,0,0,0,0,0,0,0,1,1,10,10,11,8,1,1,0,0,0,0,4,4,0,0,0,0,0,0,NO,NO
REGENCY PALMS PHASE IV,REGENCY INC,25/04/2024,P51700046381,22/06/2022,No,421002,2512560003,,New Project,31/05/2026,,Yes,Residential,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,6583.46,2,1118.03,30344.58,0,30344.58,THE SARASWAT CO OPERATIVE BANK LIMITED,SRCB0000281,YES,0,34,0,1,17808.52,100,5,,102,7,0,0,0,0,0,0,0,0,0,0,5,68,0,0,2,34,0,0,0,0,0,0,68,5,34,2,0,0,0,0,0,0,0,0,0,0,NO,NO
Fiora F,MACROTECH DEVELOPERS LIMITED,30/04/2024,P51700046315,22/06/2022,No,400001,2261334761,,New Project,31/08/2026,,No,Residential,No,Konkan,Thane,Kalyan,Hedutane,421203,1236.8,1,690.8,9931.65,993,10924.65,Yes Bank Ltd,YESB0000001,YES,30,24,25,0,6426.94,100,65,,161,99,0,0,96,156,0,2,3,3,0,0,0,0,0,0,0,0,0,0,158,96,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
TISAI SRUSHTI PHASE 1,VVKS DEVELOPERS PRIVATE LIMITED,30/04/2024,P51700046320,22/06/2022,No,421306,9920851221,,New Project,31/12/2027,,No,Residential,No,Konkan,Thane,Kalyan,,421306,2350,2,0,4136,0,4136,CENTRAL BANK OF INDIA,CBIN0285042,NO,0,7,20,0,3221.26,50,0,,84,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
Lodha Kolshet A2 - Tower 3,MACROTECH DEVELOPERS LIMITED,11/03/2024,P51700046362,22/06/2022,No,400001,2261334263,www.lodhagroup.com,New Project,31/10/2029,,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400607,834.6,1,175.57,741.05,14354,15095.05,HDFC BANK,HDFC0000501,YES,0,39,0,0,13240.08,0,0,,222,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHIVAM RESIDENCY PHASE II,SHIVAM DEVELOPERS,30/03/2024,P51700047055,27/09/2022,No,421302,2522000000,,New Project,31/12/2026,,No,Others,Yes,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421305,3390,2,0,11698.58,0,11698.58,YES BANK,YESB0000177,NO,0,12,20,1,5471.55,100,0,,144,48,8,21,32,88,8,35,0,0,0,0,0,0,0,0,0,0,0,0,105,40,25,8,10,0,0,0,0,0,4,0,0,0,0,0,0,0,NO,NO
RUSTOMJEE LA FAMILIA - WING B,Kapstone Constructions Private Limited,21/04/2024,P51700032205,15/12/2021,Yes,400069,2266766888,www.rustomjeeurbania-thane.in,New Project,31/12/2026,,Yes,Residential,Yes,Konkan,Thane,Thane,Thane (M Corp.),400601,3981.7,1,0,28259.88,3131,31390.88,STANDARD CHARTERED BANK LTD,SCBL0036085,NO,0,52,0,416,21274.34,100,6,,391,219,0,0,64,91,127,250,28,50,0,0,0,0,0,0,0,0,0,0,91,64,250,127,50,28,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SAAJ,M S BUILDCON & ASSOCIATES,31/03/2024,P51700032636,17/01/2022,No,421503,2512677126,,New Project,30/06/2024,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,385,1,0,675.43,0,675.43,HDFC BANK,HDFC0001806,NO,0,6,29,0,533.9,100,100,,15,1,1,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREERAM APARTMENT,HERAMB DEVELOPERS,17/01/2024,P51700032271,22/12/2021,No,421501,2512567879,,New Project,27/06/2024,,No,Residential,Yes,Konkan,Thane,Ambarnath,Ambarnath (R),421501,419,1,0,1124.74,0,1124.74,HDFC BANK LTD,HDFC0000816,NO,0,7,0,1,1003.32,100,100,,24,15,0,0,9,18,6,6,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
NOVA D-1,VIHANG ENTERPRISES,16/06/2023,P51700032331,29/12/2021,No,400601,2221729000,,New Project,31/12/2026,,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,1800,1,267.72,6163.79,14672,20835.79,COSMOS BANK,COSB0000040,YES,100,15,0,74,9538.04,100,0,,276,44,35,160,9,106,0,8,0,2,0,0,0,0,0,0,0,0,0,0,265,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,NO,NO
